Temperature,Light,CO2,HumidityRatio,LOG_CO2,LOG_HR,GRAD_CO2,GRAD_HR,HRCO2,GRAD_HRCO2,FLAG_BusinessHour,HOUR(date),DAY(date),WEEKDAY(date),PERCENTILE(Temperature),PERCENTILE(Humidity),PERCENTILE(Light),PERCENTILE(CO2),PERCENTILE(HumidityRatio),PERCENTILE(LOG_CO2),PERCENTILE(LOG_HR),PERCENTILE(GRAD_CO2),PERCENTILE(GRAD_HR),PERCENTILE(HRCO2),PERCENTILE(GRAD_HRCO2),RMEAN_CO2,RMEAN_HR
23.7,585.2,749.2,0.0047641630241641395,6.619005970569933,-5.346633408056913,7.467976190476179,6.712869320248897e-06,3.5693109377037735,0.042180321100484086,1,14,2,0,0.9825515947467167,0.7035647279549718,0.9429643527204503,0.6228893058161351,0.8457786116322702,0.6228893058161351,0.8457786116322702,1.0,0.9032258064516129,0.6712945590994371,0.9924098671726755,861.5011111111111,0.004851345087351793
23.718000000000004,578.4,760.4,0.00477266099212519,6.633844610614274,-5.3448512696436055,7.467976190476179,6.712869320248897e-06,3.6291314184119945,0.042180321100484086,1,14,2,0,0.9844277673545966,0.7061913696060037,0.9395872420262664,0.6270168855534709,0.8480300187617261,0.6270168855534709,0.8480300187617261,1.0,0.9032258064516129,0.676923076923077,0.9924098671726755,861.5011111111111,0.004851345087351793
23.73,572.666666666667,769.666666666667,0.00476515255246541,6.645957520686386,-5.346425727180597,7.467976190476179,6.712869320248897e-06,3.667579081214212,0.042180321100484086,1,14,2,0,0.9855534709193245,0.699812382739212,0.9380863039399625,0.6333958724202626,0.8461538461538461,0.6333958724202626,0.8461538461538461,1.0,0.9032258064516129,0.6810506566604128,0.9924098671726755,861.5011111111111,0.004851345087351793
23.7225,493.75,774.75,0.00474377335599685,6.652540396667858,-5.350922393302157,7.467976190476179,6.712869320248897e-06,3.6752384075585596,0.042180321100484086,1,14,2,0,0.9849906191369606,0.6904315196998124,0.8724202626641651,0.6373358348968106,0.8416510318949343,0.6373358348968106,0.8416510318949343,1.0,0.9032258064516129,0.6814258911819887,0.9924098671726755,861.5011111111111,0.004851345087351793
23.754,488.6,779.0,0.00476659399998615,6.658011045870748,-5.346123275258738,7.467976190476179,6.712869320248897e-06,3.713176725989211,0.042180321100484086,1,14,2,0,0.9876172607879925,0.6964352720450282,0.8690431519699813,0.6403377110694184,0.8472795497185741,0.6403377110694184,0.8472795497185741,1.0,0.9032258064516129,0.6844277673545967,0.9924098671726755,861.5011111111111,0.004851345087351793
23.76,568.666666666667,790.0,0.00477933243163454,6.672032945461067,-5.343454400885812,7.467976190476179,6.712869320248897e-06,3.775672620991286,0.042180321100484086,1,14,2,0,0.9883677298311445,0.701688555347092,0.9365853658536586,0.6461538461538462,0.84953095684803,0.6461538461538462,0.84953095684803,1.0,0.9032258064516129,0.6878048780487804,0.9924098671726755,861.5011111111111,0.004851345087351793
23.73,536.333333333333,798.0,0.004776136332748921,6.682108597449809,-5.344123357916308,7.467976190476179,6.712869320248897e-06,3.8113567935336388,0.042180321100484086,1,14,2,0,0.9855534709193245,0.7061913696060037,0.9033771106941839,0.64953095684803,0.848780487804878,0.64953095684803,0.848780487804878,1.0,0.9032258064516129,0.6893058161350845,0.9924098671726755,861.5011111111111,0.004851345087351793
23.754,509.0,797.0,0.00478309370839038,6.680854678790215,-5.342667722506342,7.467976190476179,6.712869320248897e-06,3.812125685587133,0.042180321100484086,1,14,2,0,0.9876172607879925,0.7061913696060037,0.8831144465290807,0.649155722326454,0.8502814258911819,0.649155722326454,0.8502814258911819,1.0,0.9032258064516129,0.6900562851782364,0.9924098671726755,861.5011111111111,0.004851345087351793
23.754,476.0,803.2,0.0047940939966204105,6.688603748937465,-5.340370536023987,7.467976190476179,6.712869320248897e-06,3.850616298085514,0.042180321100484086,1,14,2,0,0.9876172607879925,0.7133208255159474,0.8562851782363977,0.652157598499062,0.850656660412758,0.652157598499062,0.850656660412758,1.0,0.9032258064516129,0.6930581613508443,0.9924098671726755,861.5011111111111,0.004851345087351793
23.736,510.0,809.0,0.00479618871038935,6.695798917058491,-5.339933695136967,7.467976190476179,6.712869320248897e-06,3.880116666704984,0.042180321100484086,1,14,2,0,0.9861163227016886,0.7165103189493434,0.8842401500938086,0.6564727954971857,0.851031894934334,0.6564727954971857,0.851031894934334,1.0,0.9032258064516129,0.6953095684803002,0.9924098671726755,861.5011111111111,0.004851345087351793
23.745,481.5,815.25,0.00480888622067716,6.703494814669429,-5.337289776630228,7.467976190476179,6.712869320248897e-06,3.9204444914070544,0.042180321100484086,1,14,2,0,0.9866791744840525,0.7200750469043152,0.8615384615384616,0.6611632270168856,0.8551594746716698,0.6611632270168856,0.8551594746716698,1.0,0.9032258064516129,0.700187617260788,0.9924098671726755,861.5011111111111,0.004851345087351793
