Temperature,Light,CO2,HumidityRatio,GRAD_CO2,GRAD_HR,HRCO2,GRAD_HRCO2,FLAG_BusinessHour,HOUR(date),DAY(date),WEEKDAY(date),PERCENTILE(Temperature),PERCENTILE(Humidity),PERCENTILE(Light),PERCENTILE(CO2),PERCENTILE(HumidityRatio),PERCENTILE(GRAD_CO2),PERCENTILE(GRAD_HR),PERCENTILE(HRCO2),PERCENTILE(GRAD_HRCO2),RMEAN_CO2,RMEAN_HR
23.7,585.2,749.2,0.0047641630241641395,8.704166666666652,-6.974526956767153e-06,3.5693109377037735,0.03609378316425094,1,14,2,0,0.9825515947467167,0.7035647279549718,0.9429643527204503,0.6228893058161351,0.8457786116322702,0.9759669545625235,0.09237701840030041,0.6712945590994371,0.9372887720615847,754.8,0.004768412008144665
23.718000000000004,578.4,760.4,0.00477266099212519,8.704166666666652,-6.974526956767153e-06,3.6291314184119945,0.03609378316425094,1,14,2,0,0.9844277673545966,0.7061913696060037,0.9395872420262664,0.6270168855534709,0.8480300187617261,0.9759669545625235,0.09237701840030041,0.676923076923077,0.9372887720615847,754.8,0.004768412008144665
23.73,572.666666666667,769.666666666667,0.00476515255246541,8.704166666666652,-6.974526956767153e-06,3.667579081214212,0.03609378316425094,1,14,2,0,0.9855534709193245,0.699812382739212,0.9380863039399625,0.6333958724202626,0.8461538461538461,0.9759669545625235,0.09237701840030041,0.6810506566604128,0.9372887720615847,765.0333333333334,0.0047689067722953005
23.7225,493.75,774.75,0.00474377335599685,5.920833333333178,-6.86154715190011e-06,3.6752384075585596,0.022926158480391035,1,14,2,0,0.9849906191369606,0.6904315196998124,0.8724202626641651,0.6373358348968106,0.8416510318949343,0.9279008636875704,0.09425460007510326,0.6814258911819887,0.8798347728126173,772.2083333333333,0.004754462954231131
23.754,488.6,779.0,0.00476659399998615,6.1458333333332575,9.250130789607153e-06,3.713176725989211,0.036507964551931504,1,14,2,0,0.9876172607879925,0.6964352720450282,0.8690431519699813,0.6403377110694184,0.8472795497185741,0.9327825760420578,0.9241457003379647,0.6844277673545967,0.938790837401427,776.8749999999998,0.0047551836779915
23.76,568.666666666667,790.0,0.00477933243163454,8.5625,1.127535210011495e-05,3.775672620991286,0.04965357024428885,1,14,2,0,0.9883677298311445,0.701688555347092,0.9365853658536586,0.6461538461538462,0.84953095684803,0.9744648892226812,0.9451746150957566,0.6878048780487804,0.97371385655276,784.4999999999998,0.004772963215810345
23.73,536.333333333333,798.0,0.004776136332748921,6.5,3.3259023796525407e-06,3.8113567935336388,0.03365828303506846,1,14,2,0,0.9855534709193245,0.7061913696060037,0.9033771106941839,0.64953095684803,0.848780487804878,0.9438603079233947,0.7822005257228689,0.6893058161350845,0.928276380022531,793.9999999999998,0.00477773438219173
23.754,509.0,797.0,0.00478309370839038,3.050000000000068,5.4297351568324825e-06,3.812125685587133,0.018928142286930516,1,14,2,0,0.9876172607879925,0.7061913696060037,0.8831144465290807,0.649155722326454,0.8502814258911819,0.8336462636124672,0.8535486293653773,0.6900562851782364,0.8588058580548253,797.4999999999998,0.00477961502056965
23.754,476.0,803.2,0.0047940939966204105,4.300000000000068,7.763166467614907e-06,3.850616298085514,0.026812621417431792,1,14,2,0,0.9876172607879925,0.7133208255159474,0.8562851782363977,0.652157598499062,0.850656660412758,0.8895981975215922,0.9008636875704094,0.6930581613508443,0.9012392039053699,800.0999999999999,0.004788593852505395
23.736,510.0,809.0,0.00479618871038935,6.012499999999989,6.971806513930007e-06,3.880116666704984,0.03445479360984782,1,14,2,0,0.9861163227016886,0.7165103189493434,0.8842401500938086,0.6564727954971857,0.851031894934334,0.9301539616973339,0.8847164851671048,0.6953095684803002,0.9305294780322944,806.0999999999999,0.00479514135350488
23.745,481.5,815.25,0.00480888622067716,6.7625000000000455,8.849220350800116e-06,3.9204444914070544,0.039687315407714197,1,14,2,0,0.9866791744840525,0.7200750469043152,0.8615384615384616,0.6611632270168856,0.8551594746716698,0.9489297784453624,0.9185129553135561,0.700187617260788,0.949305294780323,812.1249999999999,0.004802537465533255
23.7,481.8,824.0,0.0048167933677358,7.937500000000057,8.955568354507282e-06,3.9690377350142994,0.04553274226930326,1,14,2,0,0.9825515947467167,0.7275797373358349,0.8622889305816135,0.6671669793621013,0.8562851782363977,0.9688321441982726,0.9207660533233195,0.7050656660412759,0.9654524971836275,819.625,0.00481283979420648
23.7,475.25,832.0,0.0048241038367487395,9.520833333333258,1.0201250917852081e-05,4.013654392174951,0.05439950773266178,1,14,2,0,0.9825515947467167,0.7320825515947467,0.8547842401500938,0.6709193245778612,0.8585365853658536,0.9831017649267744,0.9357867067217424,0.7103189493433396,0.9808486669170109,828.0,0.00482044860224227
23.7,469.0,845.333333333333,0.004842380755335629,10.0,1.43474780352126e-05,4.093425865177051,0.06247708008779784,1,14,2,0,0.9825515947467167,0.7384615384615385,0.8422138836772983,0.6786116322701689,0.8630393996247655,0.9928651896357491,0.9643259481787457,0.724953095684803,0.9898610589560646,838.6666666666665,0.0048332422960421844
23.7,464.0,852.4,0.00485590636128976,9.016666666666765,1.663290159903798e-05,4.139174582363392,0.0578214737081586,1,14,2,0,0.9825515947467167,0.7422138836772983,0.8255159474671669,0.6833020637898687,0.8671669793621013,0.978971085242208,0.9778445362373264,0.7317073170731707,0.9838527975966954,848.8666666666666,0.004849143558312695
23.7,464.0,861.0,0.00487710983719076,10.0,1.7753372232342732e-05,4.199191569821244,0.06792974961028042,1,14,2,0,0.9825515947467167,0.751969981238274,0.8255159474671669,0.6883677298311445,0.873545966228893,0.9928651896357491,0.9804731505820503,0.7384615384615385,0.9936162223056703,856.7,0.00486650809924026
23.7,455.0,880.0,0.004892190768364,10.0,1.6922459633501342e-06,4.30512787616032,0.07149208670572094,1,14,2,0,0.9825515947467167,0.7553470919324577,0.8037523452157599,0.6971857410881801,0.8784240150093808,0.9928651896357491,0.694705219677056,0.7467166979362101,0.994742771310552,870.5,0.00488465030277738
23.6,454.0,891.0,0.00484759441396992,10.0,-1.1665352613684891e-05,4.319206622847199,0.047681843102003185,1,14,2,0,0.974108818011257,0.751969981238274,0.7930581613508443,0.7031894934333959,0.8645403377110694,0.9928651896357491,0.03830266616597822,0.7485928705440901,0.9707097258730755,885.5,0.004869892591166961
23.64,458.0,897.6,0.0048750447811301,6.774999999999977,6.687797023102477e-06,4.375840195542378,0.039073468174028125,1,14,2,0,0.9793621013133208,0.7557223264540338,0.8080675422138837,0.7080675422138837,0.8727954971857411,0.949305294780323,0.8779571911378145,0.7530956848030019,0.9463011641006384,894.3,0.004861319597550011
23.65,464.0,900.5,0.004891491589296229,5.1749999999999545,1.662065941360983e-05,4.404788176161254,0.04017693075662887,1,14,2,0,0.9801125703564728,0.7624765478424015,0.8255159474671669,0.7125703564727955,0.8776735459662289,0.909876079609463,0.9774690199023658,0.7545966228893058,0.950056327450244,899.05,0.004883268185213166
23.64,473.0,908.8,0.004897630243458229,7.1749999999999545,6.936429564322402e-06,4.450966365254838,0.041366096867028634,1,14,2,0,0.9793621013133208,0.7651031894934334,0.850093808630394,0.7159474671669793,0.8803001876172608,0.955313556139692,0.883589936162223,0.7568480300187618,0.9534359744648893,904.6499999999999,0.00489456091637723
23.6,464.0,918.0,0.00489665184522539,8.47500000000008,4.498000256710367e-06,4.495126393916908,0.045632821078186225,1,14,2,0,0.974108818011257,0.7681050656660413,0.8255159474671669,0.7195121951219512,0.8795497185741088,0.97371385655276,0.8235073225685318,0.7602251407129456,0.965828013518588,913.3999999999999,0.00489714104434181
